# 中国·国家地名信息库 地名公告
# https://dmfw.mca.gov.cn/nameChange.html
# https://dmfw.mca.gov.cn/name/getListOther?title=&pageNum=1&pageSize=12
#
# word	pinyin

001乡道	001xiāngdào
下东村北村一街七巷	Xiàdōngcūn Běicūn 1 Jiē 7 Xiàng
下东村北村一街三巷	Xiàdōngcūn Běicūn 1 Jiē 3 Xiàng
下东村北村一街九巷	Xiàdōngcūn Běicūn 1 Jiē 9 Xiàng
下东村北村一街二巷	Xiàdōngcūn Běicūn 1 Jiē 2 Xiàng
下东村北村一街五巷	Xiàdōngcūn Běicūn 1 Jiē 5 Xiàng
下东村北村一街八巷	Xiàdōngcūn Běicūn 1 Jiē 8 Xiàng
下东村北村一街六巷	Xiàdōngcūn Běicūn 1 Jiē 6 Xiàng
下东村北村一街十一巷	Xiàdōngcūn Běicūn 1 Jiē 11 Xiàng
下东村北村一街十三巷	Xiàdōngcūn Běicūn 1 Jiē 13 Xiàng
下东村北村一街十二巷	Xiàdōngcūn Běicūn 1 Jiē 12 Xiàng
下东村北村一街十巷	Xiàdōngcūn Běicūn 1 Jiē 10 Xiàng
下东村北村一街四巷	Xiàdōngcūn Běicūn 1 Jiē 4 Xiàng
下东村北村二街	Xiàdōngcūn Běicūn 2 Jiē
下东村北村二街一巷	Xiàdōngcūn Běicūn 2 Jiē 1 Xiàng
下东村北村二街七巷	Xiàdōngcūn Běicūn 2 Jiē 7 Xiàng
下东村北村二街三巷	Xiàdōngcūn Běicūn 2 Jiē 3 Xiàng
下东村北村二街九巷	Xiàdōngcūn Běicūn 2 Jiē 9 Xiàng
下东村北村二街二巷	Xiàdōngcūn Běicūn 2 Jiē 2 Xiàng
下东村北村二街五巷	Xiàdōngcūn Běicūn 2 Jiē 5 Xiàng
下东村北村二街八巷	Xiàdōngcūn Běicūn 2 Jiē 8 Xiàng
下东村北村二街六巷	Xiàdōngcūn Běicūn 2 Jiē 6 Xiàng
下东村北村二街十一巷	Xiàdōngcūn Běicūn 2 Jiē 11 Xiàng
下东村北村二街十巷	Xiàdōngcūn Běicūn 2 Jiē 10 Xiàng
下东村北村二街四巷	Xiàdōngcūn Běicūn 2 Jiē 4 Xiàng
下东村南村一街一巷	Xiàdōngcūn Náncūn 1 Jiē 1 Xiàng
下东村南村一街七巷	Xiàdōngcūn Náncūn 1 Jiē 7 Xiàng
下东村南村一街三巷	Xiàdōngcūn Náncūn 1 Jiē 3 Xiàng
下东村南村一街九巷	Xiàdōngcūn Náncūn 1 Jiē 9 Xiàng
下东村南村一街二巷	Xiàdōngcūn Náncūn 1 Jiē 2 Xiàng
下东村南村一街五巷	Xiàdōngcūn Náncūn 1 Jiē 5 Xiàng
下东村南村一街八巷	Xiàdōngcūn Náncūn 1 Jiē 8 Xiàng
下东村南村一街六巷	Xiàdōngcūn Náncūn 1 Jiē 6 Xiàng
下东村南村一街十一巷	Xiàdōngcūn Náncūn 1 Jiē 11 Xiàng
下东村南村一街十巷	Xiàdōngcūn Náncūn 1 Jiē 10 Xiàng
下东村南村一街四巷	Xiàdōngcūn Náncūn 1 Jiē 4 Xiàng
下东村南村二街一巷	Xiàdōngcūn Náncūn 2 Jiē 1 Xiàng
下东村南村二街七巷	Xiàdōngcūn Náncūn 2 Jiē 7 Xiàng
下东村南村二街三巷	Xiàdōngcūn Náncūn 2 Jiē 3 Xiàng
下东村南村二街九巷	Xiàdōngcūn Náncūn 2 Jiē 9 Xiàng
下东村南村二街二巷	Xiàdōngcūn Náncūn 2 Jiē 2 Xiàng
下东村南村二街五巷	Xiàdōngcūn Náncūn 2 Jiē 5 Xiàng
下东村南村二街八巷	Xiàdōngcūn Náncūn 2 Jiē 8 Xiàng
下东村南村二街六巷	Xiàdōngcūn Náncūn 2 Jiē 6 Xiàng
下东村南村二街十巷	Xiàdōngcūn Náncūn 2 Jiē 10 Xiàng
下东村南村二街四巷	Xiàdōngcūn Náncūn 2 Jiē 4 Xiàng
下东村大街一巷	Xiàdōngcūn Dàjiē 1 Xiàng
下东村大街三巷	Xiàdōngcūn Dàjiē 3 Xiàng
下东村大街二巷	Xiàdōngcūn Dàjiē 2 Xiàng
下东村大街五巷	Xiàdōngcūn Dàjiē 5 Xiàng
下东村大街六巷	Xiàdōngcūn Dàjiē 6 Xiàng
下东村大街四巷	Xiàdōngcūn Dàjiē 4 Xiàng
下东村陆门坊一巷	Xiàdōngcūn Lùménfāng 1 Xiàng
下东村陆门坊三巷	Xiàdōngcūn Lùménfāng 3 Xiàng
下东村陆门坊二巷	Xiàdōngcūn Lùménfāng 2 Xiàng
下东村陆门坊四巷	Xiàdōngcūn Lùménfāng 4 Xiàng
下东林五巷	Xiàdōnglín 5 Xiàng
下东林六巷	Xiàdōnglín 6 Xiàng
下东林四巷	Xiàdōnglín 4 Xiàng
下东窑头	Xiàdōngyáotóu
下东背路	XiàDōngBèi Lù
下东街	Xiàdōngjiē
下东路	Xià Dōnglù
下严一路	Xiàyán 1 Lù
下严二路	Xiàyán 2 Lù
下严路	Xiàyán Lù
下中塆路	Xiàzhōngwān Lù
下中河路	Xiàzhōnghé Lù
下中田路	Xiàzhōngtián Lù
下中街	Xiàzhōng Jiē
下中路	Xiàzhōng Lù
下丰坡畈路	Xiàfēngpōfàn Lù
下丰路	Xiàfēng Lù
下丰门路	Xiàfēngmén Lù
下丹洲湾路	Xiàdānzhōuwān Lù
下义安路	Xiàyì'ān Lù
下乌石路	Xiàwūshí Lù
下乌路	Xiàwū Lù
下乐汉前进路	Xiàlèhànqiánjìn Lù
下乐街	Xiàlèjiē
下乐街东一巷	Xiàlèjiēdōngyīxiàng
下乐街东三巷	Xiàlèjiēdōngsānxiàng
下乐街东二巷	Xiàlèjiēdōngèrxiàng
下乐街西一巷	Xiàlèjiēxīyīxiàng
下乙路	Xiàyǐ Lù
下九巷	Xiàjiǔxiàng
下九街	Xiàjiǔ Jiē
下九路	Xiàjiǔcūn Lù / Xiàjiǔlù
下乡一巷	Xiàxiāng 1 Xiàng
下乡一横巷	Xiàxiāng 1 Héngxiàng
下乡一直巷	Xiàxiāng 1 Zhíxiàng
下乡七横巷	Xiàxiāng 7 Héngxiàng
下乡七直巷	Xiàxiāng 7 Zhíxiàng
下乡三巷	Xiàxiāng 3 Xiàng
下乡三横巷	Xiàxiāng 3 Héngxiàng
下乡三直巷	Xiàxiāng 3 Zhíxiàng
下乡东南街	Xiàxiāngdōng Nánjiē
下乡东街	Xiàxiāng Dōngjiē
下乡中学前一座一巷	Xiàxiāng Zhōngxuéqián 1 Zuò 1 Xiàng
下乡中学前二座一巷	Xiàxiāng Zhōngxuéqián 2 Zuò 1 Xiàng
下乡中学前二座三巷	Xiàxiāng Zhōngxuéqián 2 Zuò 3 Xiàng
下乡中学前二座二巷	Xiàxiāng Zhōngxuéqián 2 Zuò 2 Xiàng
下乡中学前南东华居巷	Xiàxiāng Zhōngxuéqián Nán Dōnghuájū Xiàng
下乡中学前南二巷	Xiàxiāng Zhōngxuéqián Nán 2 Xiàng
下乡中学前南路	Xiàxiāng Zhōngxuéqián Nán Lù
下乡中路	Xiàxiāng Zhōnglù
下乡九巷	Xiàxiāng 9 Xiàng
下乡二巷	Xiàxiāng 2 Xiàng
下乡二横巷	Xiàxiāng 2 Héngxiàng
下乡二直巷	Xiàxiāng 2 Zhíxiàng
下乡五横巷	Xiàxiāng 5 Héngxiàng
下乡五直巷	Xiàxiāng 5 Zhíxiàng
下乡伯爷宫前二巷	Xiàxiāng Bóyégōng Qián 2 Xiàng
下乡伯爷宫前路	Xiàxiāng Bóyégōng Qián Lù
下乡伯爷宫西一巷	Xiàxiāng Bóyégōng Xī 1 Xiàng
下乡伯爷宫西三巷	Xiàxiāng Bóyégōng Xī 3 Xiàng
下乡伯爷宫西二巷	Xiàxiāng Bóyégōng Xī 2 Xiàng
下乡伯爷宮前路	Xiàxiāng Bóyé Gōngqián Lù
下乡保婴堂东巷	Xiàxiāng Bǎoyīngtáng Dōngxiàng
下乡保婴堂后一巷	Xiàxiāng Bǎoyīngtáng Hòu 1 Xiàng
下乡保婴堂正一巷	Xiàxiāng Bǎoyīngtáng Zhèng 1 Xiàng
下乡保婴堂正二巷	Xiàxiāng Bǎoyīngtáng Zhèng 2 Xiàng
下乡保婴堂西一巷	Xiàxiāng Bǎoyīngtáng Xī 1 Xiàng
下乡保婴堂西二巷	Xiàxiāng Bǎoyīngtáng Xī 2 Xiàng
下乡八巷	Xiàxiāng 8 Xiàng
下乡六巷	Xiàxiāng 6 Xiàng
下乡六横巷	Xiàxiāng 6 Héngxiàng
下乡六直巷	Xiàxiāng 6 Zhíxiàng
下乡十七巷	Xiàxiāng 17 Xiàng
下乡十九巷	Xiàxiāng 19 Xiàng
下乡十二巷	Xiàxiāng 12 Xiàng
下乡十五巷	Xiàxiāng 15 Xiàng
下乡十八巷	Xiàxiāng 18 Xiàng
下乡十六巷	Xiàxiāng 16 Xiàng
下乡十四巷	Xiàxiāng 14 Xiàng
下乡南面池路	Xiàxiāng Nánmiànchí Lù
下乡后座一巷	Xiàxiāng Hòuzuò 1 Xiàng
下乡后座二巷	Xiàxiāng Hòuzuò 2 Xiàng
下乡后社前一巷	Xiàxiāng Hòushèqián 1 Xiàng
下乡后社前三巷	Xiàxiāng Hòushèqián 3 Xiàng
下乡后社前二巷	Xiàxiāng Hòushèqián 2 Xiàng
下乡后社厅北巷	Xiàxiāng Hòushètīng Běixiàng
下乡后社厅南巷	Xiàxiāng Hòushètīng Nánxiàng
下乡后社后巷	Xiàxiāng Hòushè Hòuxiàng
下乡后社四巷	Xiàxiāng Hòushè 4 Xiàng
下乡四巷	Xiàxiāng 4 Xiàng
下乡四房内一巷	Xiàxiāng 4 Fángnèi 1 Xiàng
下乡四房内七巷	Xiàxiāng 4 Fángnèi 7 Xiàng
下乡四房内三巷	Xiàxiāng 4 Fángnèi 3 Xiàng
下乡四房内九巷	Xiàxiāng 4 Fángnèi 9 Xiàng
下乡四房内二巷	Xiàxiāng 4 Fángnèi 2 Xiàng
下乡四房内五巷	Xiàxiāng 4 Fángnèi 5 Xiàng
下乡四房内八巷	Xiàxiāng 4 Fángnèi 8 Xiàng
下乡四房内六巷	Xiàxiāng 4 Fángnèi 6 Xiàng
下乡四房内十一巷	Xiàxiāng 4 Fángnèi 11 Xiàng
下乡四房内十二巷	Xiàxiāng 4 Fángnèi 12 Xiàng
下乡四房内十巷	Xiàxiāng 4 Fángnèi 10 Xiàng
下乡四房内四巷	Xiàxiāng 4 Fángnèi 4 Xiàng
下乡四横巷	Xiàxiāng 4 Héngxiàng
下乡四直巷	Xiàxiāng 4 Zhíxiàng
下乡园一直巷	Xiàxiāngyuán 1 Zhíxiàng
下乡园七直巷	Xiàxiāngyuán 7 Zhíxiàng
下乡园三直巷	Xiàxiāngyuán 3 Zhíxiàng
下乡园九直巷	Xiàxiāngyuán 9 Zhíxiàng
下乡园二直巷	Xiàxiāngyuán 2 Zhíxiàng
下乡园五直巷	Xiàxiāngyuánwǔzhíxiàng
下乡园八直巷	Xiàxiāngyuán 8 Zhíxiàng
下乡园六直巷	Xiàxiāngyuán 6 Zhíxiàng
下乡园十一直巷	Xiàxiāngyuánshíyīzhíxiàng
下乡园十七直巷	Xiàxiāngyuán 17 Zhíxiàng
下乡园十三直巷	Xiàxiāngyuánshísānzhíxiàng
下乡园十九直巷	Xiàxiāngyuán 19 Zhíxiàng
下乡园十二直巷	Xiàxiāngyuán 12 Zhíxiàng
下乡园十五直巷	Xiàxiāngyuán 15 Zhíxiàng
下乡园十八直巷	Xiàxiāngyuán 18 Zhíxiàng
下乡园十六直巷	Xiàxiāngyuán 16 Zhíxiàng
下乡园十四直巷	Xiàxiāngyuán 14 Zhíxiàng
下乡园十直巷	Xiàxiāngyuán 10 Zhíxiàng
下乡园四直巷	Xiàxiāngyuánsìzhíxiàng
下乡坑仔顶东一巷	Xiàxiāng Kēngzǎidǐng Dōng 1 Xiàng
下乡坑仔顶东三巷	Xiàxiāng Kēngzǎidǐng Dōng 3 Xiàng
下乡坑仔顶东二巷	Xiàxiāng Kēngzǎidǐng Dōng 2 Xiàng
下乡坑仔顶东五巷	Xiàxiāng Kēngzǎidǐng Dōng 5 Xiàng
下乡坑仔顶东四巷	Xiàxiāng Kēngzǎidǐng Dōng 4 Xiàng
下乡坑仔顶西一巷	Xiàxiāng Kēngzǎidǐng Xī 1 Xiàng
下乡坑仔顶西三巷	Xiàxiāng Kēngzǎidǐng Xī 3 Xiàng
下乡坑仔顶西二巷	Xiàxiāng Kēngzǎidǐng Xī 2 Xiàng
下乡坑仔顶西四巷	Xiàxiāng Kēngzǎidǐng Xī 4 Xiàng
下乡学校东路	Xiàxiāng Xuéxiào Dōng Lù
下乡学校脚一巷	Xiàxiāng Xuéxiàojiǎo 1 Xiàng
下乡学校脚三巷	Xiàxiāng Xuéxiàojiǎo 3 Xiàng
下乡学校脚二巷	Xiàxiāng Xuéxiàojiǎo 2 Xiàng
下乡学校脚五巷	Xiàxiāng Xuéxiàojiǎo 5 Xiàng
下乡学校脚四巷	Xiàxiāng Xuéxiàojiǎo 4 Xiàng
下乡寨前路	Xiàxiāng Zhàiqián Lù
下乡新厝一巷	Xiàxiāng Xīncuò 1 Xiàng
下乡新厝三巷	Xiàxiāng Xīncuò 3 Xiàng
下乡新厝东一巷	Xiàxiāng Xīncuò Dōng 1 Xiàng
下乡新厝东三巷	Xiàxiāng Xīncuò Dōng 3 Xiàng
下乡新厝东二巷	Xiàxiāng Xīncuò Dōng 2 Xiàng
下乡新厝二巷	Xiàxiāng Xīncuò 2 Xiàng
下乡新厝前右侧巷	Xiàxiāng Xīncuòqián Yòucè Xiàng
下乡新厝反照巷	Xiàxiāng Xīncuò Fǎnzhàoxiàng
下乡新厝后楼一巷	Xiàxiāng Xīncuò Hòulóu 1 Xiàng
下乡新厝后楼七巷	Xiàxiāng Xīncuò Hòulóu 7 Xiàng
下乡新厝后楼三巷	Xiàxiāng Yǒngshùnnèi Xī 3 Xiàng
下乡新厝后楼九巷	Xiàxiāng Xīncuò Hòulóu 9 Xiàng
下乡新厝后楼二巷	Xiàxiāng Yǒngshùnnèi Xī 2 Xiàng
下乡新厝后楼五巷	Xiàxiāng Xīncuò Hòulóu 5 Xiàng
下乡新厝后楼八巷	Xiàxiāng Xīncuò Hòulóu 8 Xiàng
下乡新厝后楼六巷	Xiàxiāng Xīncuò Hòulóu 6 Xiàng
下乡新厝后楼四巷	Xiàxiāng Xīncuò Hòulóu 4 Xiàng
下乡新厝横一巷	Xiàxiāng Xīncuò Héng 1 Xiàng
下乡新厝横三巷	Xiàxiāng Xīncuò Héng 3 Xiàng
下乡新厝横二巷	Xiàxiāng Xīncuò Héng 2 Xiàng
下乡新厝横五巷	Xiàxiāng Xīncuò Héng 5 Xiàng
下乡新厝横四巷	Xiàxiāng Xīncuò Héng 4 Xiàng
下乡新厝西一巷	Xiàxiāng Xīncuò Xī 1 Xiàng
下乡新厝西一横巷	Xiàxiāng Xīncuòxī 1 Héngxiàng
下乡新厝西七横巷	Xiàxiāng Xīncuòxī 7 Héngxiàng
下乡新厝西三巷	Xiàxiāng Xīncuò Xī 3 Xiàng
下乡新厝西三横巷	Xiàxiāng Xīncuòxī 3 Héngxiàng
下乡新厝西九横巷	Xiàxiāng Xīncuòxī 9 Héngxiàng
下乡新厝西二巷	Xiàxiāng Xīncuò Xī 2 Xiàng
下乡新厝西二横巷	Xiàxiāng Xīncuòxī 2 Héngxiàng
下乡新厝西五横巷	Xiàxiāng Xīncuòxī 5 Héngxiàng
下乡新厝西八横巷	Xiàxiāng Xīncuòxī 8 Héngxiàng
下乡新厝西六横巷	Xiàxiāng Xīncuòxī 6 Héngxiàng
下乡新厝西十一横巷	Xiàxiāng Xīncuòxī 11 Héngxiàng
下乡新厝西十二横巷	Xiàxiāng Xīncuòxī 12 Héngxiàng
下乡新厝西十横巷	Xiàxiāng Xīncuòxī 10 Héngxiàng
下乡新厝西四横巷	Xiàxiāng Xīncuòxī 4 Héngxiàng
下乡永顺内东一巷	Xiàxiāng Yǒngshùn Nèi Dōng 1 Xiàng
下乡永顺内东三巷	Xiàxiāng Yǒngshùn Nèi Dōng 3 Xiàng
下乡永顺内东二巷	Xiàxiāng Yǒngshùn Nèi Dōng 2 Xiàng
下乡永顺内五谷母宫巷	Xiàxiāng Yǒngshùn Nèiwǔgǔmǔgōng Xiàng
下乡永顺内南一巷	Xiàxiāng Yǒngshùn Nèi Nán 1 Xiàng
下乡永顺内南二巷	Xiàxiāng Yǒngshùn Nèi Nán 2 Xiàng
下乡永顺内后楼一巷	Xiàxiāng Yǒngshùn Nèi Hòulóu 1 Xiàng
下乡永顺内后楼巷	Xiàxiāng Yǒngshùn Nèi Hòulóu Xiàng
下乡永顺内正一巷	Xiàxiāng Yǒngshùn Nèi Zhèng 1 Xiàng
下乡永顺内正三巷	Xiàxiāng Yǒngshùn Nèi Zhèng 3 Xiàng
下乡永顺内西一巷	Xiàxiāng Yǒngshùnnèi Xī 1 Xiàng
下乡池顶围一巷	Xiàxiāng Chídǐngwéi 1 Xiàng
下乡池顶围七巷	Xiàxiāng Chídǐngwéi 7 Xiàng
下乡池顶围三巷	Xiàxiāng Chídǐngwéi 3 Xiàng
下乡池顶围九巷	Xiàxiāng Chídǐngwéi 9 Xiàng
下乡池顶围二巷	Xiàxiāng Chídǐngwéi 2 Xiàng
下乡池顶围五巷	Xiàxiāng Chídǐngwéi 5 Xiàng
下乡池顶围八巷	Xiàxiāng Chídǐngwéi 8 Xiàng
下乡池顶围六巷	Xiàxiāng Chídǐngwéi 6 Xiàng
下乡池顶围十一巷	Xiàxiāng Chídǐngwéi 11 Xiàng
下乡池顶围十巷	Xiàxiāng Chídǐngwéi 1 Xiàng
下乡池顶围四巷	Xiàxiāng Chídǐngwéi 4 Xiàng
下乡油车路	Xiàxiāng Yóuchē Lù
下乡渡口路	Xiàxiāng Dùkǒu Lù
下乡片东面一巷	Xiàxiāngpiàn Dōngmiàn 1 Xiàng
下乡片东面七巷	Xiàxiāngpiàn Dōngmiàn 7 Xiàng
下乡片东面三巷	Xiàxiāngpiàn Dōngmiàn 3 Xiàng
下乡片东面二巷	Xiàxiāngpiàn Dōngmiàn 2 Xiàng
下乡片东面五巷	Xiàxiāngpiàn Dōngmiàn 5 Xiàng
下乡片东面六巷	Xiàxiāngpiàn Dōngmiàn 6 Xiàng
下乡片东面北厝一巷	Xiàxiāngpiàn Dōngmiàn Běicuò 1 Xiàng
下乡片东面北厝三巷	Xiàxiāngpiàn Dōngmiàn Běicuò 3 Xiàng
下乡片东面北厝二巷	Xiàxiāngpiàn Dōngmiàn Běicuò 2 Xiàng
下乡片东面北厝四巷	Xiàxiāngpiàn Dōngmiàn Běicuò 4 Xiàng
下乡片东面四巷	Xiàxiāngpiàn Dōngmiàn 4 Xiàng
下乡片东面西厝一巷	Xiàxiāngpiàn Dōngmiàn Xīcuò 1 Xiàng
下乡片东面西厝七巷	Xiàxiāngpiàn Dōngmiàn Xīcuò 7 Xiàng
下乡片东面西厝三巷	Xiàxiāngpiàn Dōngmiàn Xīcuò 3 Xiàng
下乡片东面西厝二巷	Xiàxiāngpiàn Dōngmiàn Xīcuò 2 Xiàng
下乡片东面西厝五巷	Xiàxiāngpiàn Dōngmiàn Xīcuò 5 Xiàng
下乡片东面西厝六巷	Xiàxiāngpiàn Dōngmiàn Xīcuò 6 Xiàng
下乡片东面西厝四巷	Xiàxiāngpiàn Dōngmiàn Xīcuò 4 Xiàng
下乡片保寿一巷	Xiàxiāngpiàn Bǎoshòu 1 Xiàng
下乡片保寿二巷	Xiàxiāngpiàn Bǎoshòu 2 Xiàng
下乡片保寿前一巷	Xiàxiāngpiàn Bǎoshòu Qián 1 Xiàng
下乡片保寿前七巷	Xiàxiāngpiàn Bǎoshòu Qián 7 Xiàng
下乡片保寿前三巷	Xiàxiāngpiàn Bǎoshòu Qián 3 Xiàng
下乡片保寿前二巷	Xiàxiāngpiàn Bǎoshòu Qián 2 Xiàng
下乡片保寿前五巷	Xiàxiāngpiàn Bǎoshòu Qián 5 Xiàng
下乡片保寿前八巷	Xiàxiāngpiàn Bǎoshòu Qián 8 Xiàng
下乡片保寿前六巷	Xiàxiāngpiàn Bǎoshòu Qián 6 Xiàng
下乡片保寿前四巷	Xiàxiāngpiàn Bǎoshòu Qián 4 Xiàng
下乡片保寿后一巷	Xiàxiāngpiàn Bǎoshòu Hòu 1 Xiàng
下乡片保寿后七巷	Xiàxiāngpiàn Bǎoshòu Hòu 7 Xiàng
下乡片保寿后三巷	Xiàxiāngpiàn Bǎoshòu Hòu 3 Xiàng
下乡片保寿后二巷	Xiàxiāngpiàn Bǎoshòu Hòu 2 Xiàng
下乡片保寿后五巷	Xiàxiāngpiàn Bǎoshòu Hòu 5 Xiàng
下乡片保寿后六巷	Xiàxiāngpiàn Bǎoshòu Hòu 6 Xiàng
下乡片保寿后四巷	Xiàxiāngpiàn Bǎoshòu Hòu 4 Xiàng
下乡片南面一巷	Xiàxiāngpiàn Nánmiàn 1 Xiàng
下乡片南面七巷	Xiàxiāngpiàn Nánmiàn 7 Xiàng
下乡片南面三巷	Xiàxiāngpiàn Nánmiàn 3 Xiàng
下乡片南面九巷	Xiàxiāngpiàn Nánmiàn 9 Xiàng
下乡片南面二巷	Xiàxiāngpiàn Nánmiàn 2 Xiàng
下乡片南面五巷	Xiàxiāngpiàn Nánmiàn 5 Xiàng
下乡片南面八巷	Xiàxiāngpiàn Nánmiàn 8 Xiàng
下乡片南面六巷	Xiàxiāngpiàn Nánmiàn 6 Xiàng
下乡片南面十一巷	Xiàxiāngpiàn Nánmiàn 11 Xiàng
下乡片南面十巷	Xiàxiāngpiàn Nánmiàn 10 Xiàng
下乡片南面后一巷	Xiàxiāngpiàn Nánmiàn Hòu 1 Xiàng
下乡片南面四巷	Xiàxiāngpiàn Nánmiàn 4 Xiàng
下乡片南面寨前一巷	Xiàxiāngpiàn Nánmiàn Zhàiqián 1 Xiàng
下乡片南面寨前三巷	Xiàxiāngpiàn Nánmiàn Zhàiqián 3 Xiàng
下乡片南面寨前二巷	Xiàxiāngpiàn Nánmiàn Zhàiqián 2 Xiàng
下乡片南面寨前五巷	Xiàxiāngpiàn Nánmiàn Zhàiqián 5 Xiàng
下乡片南面寨前六巷	Xiàxiāngpiàn Nánmiàn Zhàiqián 6 Xiàng
下乡片南面寨前四巷	Xiàxiāngpiàn Nánmiàn Zhàiqián 4 Xiàng
下乡片祠堂一巷	Xiàxiāngpiàn Cítáng 1 Xiàng
下乡片祠堂二巷	Xiàxiāngpiàn Cítáng 2 Xiàng
下乡环田路	Xiàxiāng Huántián Lù
下乡田东一巷	Xiàxiāngtián Dōng 1 Xiàng
下乡田东七巷	Xiàxiāngtián Dōng 7 Xiàng
下乡田东三巷	Xiàxiāngtián Dōng 3 Xiàng
下乡田东九巷	Xiàxiāngtián Dōng 9 Xiàng
下乡田东二巷	Xiàxiāngtián Dōng 2 Xiàng
下乡田东五巷	Xiàxiāngtián Dōng 5 Xiàng
下乡田东八巷	Xiàxiāngtián Dōng 8 Xiàng
下乡田东六巷	Xiàxiāngtián Dōng 6 Xiàng
下乡田东四巷	Xiàxiāngtián Dōng 4 Xiàng
下乡码头尾七巷	Xiàxiāng Mǎtóu Wěi 7 Xiàng
下乡码头尾三巷	Xiàxiāng Mǎtóu Wěi 3 Xiàng
下乡码头尾二巷	Xiàxiāng Mǎtóu Wěi 2 Xiàng
下乡码头尾五巷	Xiàxiāng Mǎtóu Wěi 5 Xiàng
下乡码头尾八巷	Xiàxiāng Mǎtóu Wěi 8 Xiàng
下乡码头尾六巷	Xiàxiāng Mǎtóu Wěi 6 Xiàng
下乡码头尾四巷	Xiàxiāng Mǎtóu Wěi 4 Xiàng
下乡码头尾头一巷	Xiàxiāng Mǎtóu Wěitóu 1 Xiàng
下乡粮所路一巷	Xiàxiāng Liángsuǒ Lù 1 Xiàng
下乡粮所路七巷	Xiàxiāng Liángsuǒ Lù 7 Xiàng
下乡粮所路三巷	Xiàxiāng Liángsuǒ Lù 3 Xiàng
下乡粮所路二巷	Xiàxiāng Liángsuǒ Lù 2 Xiàng
下乡粮所路五巷	Xiàxiāng Liángsuǒ Lù 5 Xiàng
下乡粮所路六巷	Xiàxiāng Liángsuǒ Lù 6 Xiàng
下乡老寨北一巷	Xiàxiāng Lǎozhài Běi 1 Xiàng
下乡老寨北二巷	Xiàxiāng Lǎozhài Běi 2 Xiàng
下乡老寨南一巷	Xiàxiāng Lǎozhài Nán 1 Xiàng
下乡老寨南三巷	Xiàxiāng Lǎozhài Nán 3 Xiàng
下乡老寨南二巷	Xiàxiāng Lǎozhài Nán 2 Xiàng
下乡老寨后一巷	Xiàxiāng Lǎozhài Hòu 1 Xiàng
下乡老寨后三巷	Xiàxiāng Lǎozhài Hòu 3 Xiàng
下乡老寨后二巷	Xiàxiāng Lǎozhài Hòu 2 Xiàng
下乡老寨后四巷	Xiàxiāng Lǎozhài Hòu 4 Xiàng
下乡老寨横三巷	Xiàxiāng Lǎozhài Héng 3 Xiàng
下乡老寨横二巷	Xiàxiāng Lǎozhài Héng 2 Xiàng
下乡老寨正一巷	Xiàxiāng Lǎozhài Zhèng 1 Xiàng
下乡花公妈街南三排一巷	Xiàxiāng Huāgōngmā Jiē Nán 3 Pái 1 Xiàng
下乡花公妈街南三排三巷	Xiàxiāng Huāgōngmā Jiē Nán 3 Pái 3 Xiàng
下乡花公妈街南三排二巷	Xiàxiāng Huāgōngmā Jiē Nán 3 Pái 2 Xiàng
下乡花公妈街南五排一巷	Xiàxiāng Huāgōngmā Jiēnánwǔpái 1 Xiàng
下乡花公妈街南四排一巷	Xiàxiāng Huāgōngmā Jiēnánsìpái 1 Xiàng
下乡街	Xiàxiāng Jiē
下乡路	Xiàxiāng Lù
下乡镇道南路一巷	Xiàxiāng Zhèndào Nánlù 1 Xiàng
下乡青窗一巷	Xiàxiāng Qīngchuāng 1 Xiàng
下乡青窗三巷	Xiàxiāng Qīngchuāng 3 Xiàng
下乡青窗二巷	Xiàxiāng Qīngchuāng 2 Xiàng
下乡青窗四巷	Xiàxiāng Qīngchuāng 4 Xiàng
下乡飞鹅街东一巷	Xiàxiāng Fēié Jiē Dōng 1 Xiàng
下乡飞鹅街东七巷	Xiàxiāng Fēié Jiē Dōng 7 Xiàng
下乡飞鹅街东三巷	Xiàxiāng Fēié Jiē Dōng 3 Xiàng
下乡飞鹅街东二巷	Xiàxiāng Fēié Jiē Dōng 2 Xiàng
下乡飞鹅街东五巷	Xiàxiāng Fēié Jiē Dōng 5 Xiàng
下乡飞鹅街东八巷	Xiàxiāng Fēié Jiē Dōng 8 Xiàng
下乡飞鹅街东四巷	Xiàxiāng Fēié Jiē Dōng 4 Xiàng
下乡鸭埕脚一巷	Xiàxiāng Yāchéngjiǎo 1 Xiàng
下乡鸭埕脚七巷	Xiàxiāng Yāchéngjiǎo 7 Xiàng
下乡鸭埕脚三巷	Xiàxiāng Yāchéngjiǎo 3 Xiàng
下乡鸭埕脚二巷	Xiàxiāng Yāchéngjiǎo 2 Xiàng
下乡鸭埕脚五巷	Xiàxiāng Yāchéngjiǎo 5 Xiàng
下乡鸭埕脚八巷	Xiàxiāng Yāchéngjiǎo 8 Xiàng
下乡鸭埕脚六巷	Xiàxiāng Yāchéngjiǎo 6 Xiàng
下乡鸭埕脚四巷	Xiàxiāng Yāchéngjiǎo 4 Xiàng
下书路	Xiàshū Lù
下乾路	Xiàqián Lù
下二路	Xìà'èr Lù
下二道河子路	Xià'èrdàohézi Lù
下云河振兴巷	Xiàyúnhé Zhènxīng Xiàng
下云洲新屋一巷	Xiàyúnzhōu Xīnwū 1 Xiàng
