# 现代汉语词典（第7版）-2016年
# 原始词条：70,101（合并后67,439）
#
# 字词	序号	完整字词	拼音

道别	10752	道别	dào//bié
道…不…	10753	道…不…	dào…bù…
道不拾遗	10754	道不拾遗	dàobùshíyí
道岔	10755	道岔	dàochà
道场	10756	道场	dàochǎng
道床	10757	道床	dàochuáng
道道儿	10758	道道儿	dào·daor
道德	10759	道德	dàodé
道地	10760	道地	dàodì
道钉	10761	道钉	dàodīng
道乏	10762	道乏	dào//fá
道高一尺，魔高一丈	10763	道高一尺，魔高一丈	dàogāoyīchǐ，mógāoyīzhàng
道姑	10764	道姑	dàogū
道观	10765	道观	dàoguàn
道光	10766	道光	Dàoguāng
道贺	10767	道贺	dàohè
道行	10768	道行	dào·heng
道家	10769	道家	Dàojiā
道教	10770	道教	Dàojiào
道具	10771	道具	dàojù
道口	10772	道口	dàokǒu
道劳	10773	道劳	dào//láo
道理	10774	道理	dào·lǐ
道林纸	10775	道林纸	dàolínzhǐ
道路	10776	道路	dàolù
道貌岸然	10777	道貌岸然	dàomào-ànrán
道门	10778	道门	dàomén
道袍	10779	道袍	dàopáo
道破	10780	道破	dàopò
道歉	10781	道歉	dào//qiàn
道情	10782	道情	dàoqíng
道人	10783	道人	dào·ren
道士	10784	道士	dào·shi
道听途说	10785	道听途说	dàotīng-túshuō
道统	10786	道统	dàotǒng
道喜	10787	道喜	dào//xǐ
道谢	10788	道谢	dào//xiè
道学	10789	道学	dàoxué
道牙	10790	道牙	dàoyá
道义	10791	道义	dàoyì
道院	10792	道院	dàoyuàn
道藏	10793	道藏	Dàozàng
道砟	10794	道砟	dàozhǎ
道碴	10795	道碴	dàozhǎ
道子	10796	道子	dào·zi
稻	10797	稻	dào
稻草	10798	稻草	dàocǎo
稻草人	10799	稻草人	dàocǎorén
稻谷	10800	稻谷	dàogǔ
稻米	10801	稻米	dàomǐ
稻子	10802	稻子	dào·zi
纛	10803	纛	dào
嘚	10804	嘚	dē
嘚啵	10805	嘚啵	dē·bo
嘚嘚	10806	嘚嘚	dē·de
得	10807	得	dé
得便	10808	得便	débiàn
得病	10809	得病	dé//bìng
得不偿失	10810	得不偿失	débùchángshī
得逞	10811	得逞	déchěng
得宠	10812	得宠	dé//chǒng
得寸进尺	10813	得寸进尺	décùn-jìnchǐ
得当	10814	得当	dédàng
得到	10815	得到	dé//dào
得道多助	10816	得道多助	dédào-duōzhù
得法	10817	得法	défǎ
得分	10818	得分	défēn
得过且过	10819	得过且过	déguò-qiěguò
得计	10820	得计	déjì
得济	10821	得济	dé//jì
得劲	10822	得劲	déjìn
得救	10823	得救	déjiù
得空	10824	得空	dé//kòng
得了	10825	得了	dé·le
得力	10826	得力	délì
得了	10827	得了	déliǎo
得陇望蜀	10828	得陇望蜀	délǒng-wàngshǔ
得其所哉	10829	得其所哉	déqísuǒzāi
得人	10830	得人	dérén
得人儿	10831	得人儿	dérénr
得人心	10832	得人心	dé rénxīn
得胜	10833	得胜	dé//shèng
得失	10834	得失	déshī
得时	10835	得时	dé//shí
得势	10836	得势	dé//shì
得手	10837	得手1	dé//shǒu
得手	10838	得手2	déshǒu
得数	10839	得数	déshù
得体	10840	得体	détǐ
得天独厚	10841	得天独厚	détiāndúhòu
得悉	10842	得悉	déxī
得闲	10843	得闲	dé//xián
得心应手	10844	得心应手	déxīn-yìngshǒu
得样儿	10845	得样儿	déyàngr
得宜	10846	得宜	déyí
得以	10847	得以	déyǐ
得益	10848	得益	déyì
得意	10849	得意	déyì
得意忘形	10850	得意忘形	déyì-wàngxíng
得意扬扬	10851	得意扬扬	déyì-yángyáng
得意洋洋	10852	得意洋洋	déyì-yángyáng
得用	10853	得用	déyòng
得鱼忘筌	10854	得鱼忘筌	déyú-wàngquán
得知	10855	得知	dézhī
得志	10856	得志	dé//zhì
得主	10857	得主	dézhǔ
得罪	10858	得罪	dézuì
锝	10859	锝（鍀）	dé
德	10860	德（⁎惪）	dé
德昂族	10861	德昂族	Dé’ángzú
德比	10862	德比	débǐ
德才兼备	10863	德才兼备	décái-jiānbèi
德高望重	10864	德高望重	dégāo-wàngzhòng
德望	10865	德望	déwàng
德行	10866	德行	déxíng
德行	10867	德行	dé·xing
德性	10868	德性	dé·xing
德艺	10869	德艺	déyì
德育	10870	德育	déyù
德政	10871	德政	dézhèng
德治	10872	德治	dézhì
嘚	10873	嘚	dè
嘚瑟	10874	嘚瑟	dè·se
地	10875	地	·de
的	10876	的1	·de
的	10877	的2	·de
的话	10878	的话	·dehuà
底	10879	底	·de
得	10880	得	·de
脦	10881	脦	·de 又 ·te
嘚	10882	嘚	dēi
得	10883	得	děi
得亏	10884	得亏	děikuī
扽	10885	扽（⁑㩐）	dèn
灯	10886	灯（燈）	dēng
灯标	10887	灯标	dēngbiāo
灯彩	10888	灯彩	dēngcǎi
灯草	10889	灯草	dēngcǎo
灯池	10890	灯池	dēngchí
灯光	10891	灯光	dēngguāng
灯红酒绿	10892	灯红酒绿	dēnghóng-jiǔlǜ
灯虎	10893	灯虎	dēnghǔ
灯花	10894	灯花	dēnghuā
灯会	10895	灯会	dēnghuì
灯火	10896	灯火	dēnghuǒ
灯节	10897	灯节	Dēngjié
灯具	10898	灯具	dēngjù
灯亮儿	10899	灯亮儿	dēngliàngr
灯笼	10900	灯笼	dēng·long
灯笼裤	10901	灯笼裤	dēng·longkù
灯谜	10902	灯谜	dēngmí
灯苗	10903	灯苗	dēngmiáo
灯捻	10904	灯捻	dēngniǎn
灯泡	10905	灯泡	dēngpào
灯伞	10906	灯伞	dēngsǎn
灯市	10907	灯市	dēngshì
灯饰	10908	灯饰	dēngshì
灯丝	10909	灯丝	dēngsī
灯塔	10910	灯塔	dēngtǎ
灯台	10911	灯台	dēngtái
灯头	10912	灯头	dēngtóu
灯下黑	10913	灯下黑	dēngxiàhēi
灯箱	10914	灯箱	dēngxiāng
灯心	10915	灯心	dēngxīn
灯心草	10916	灯心草	dēngxīncǎo
灯心绒	10917	灯心绒	dēngxīnróng
灯芯	10918	灯芯	dēngxīn
灯芯草	10919	灯芯草	dēngxīncǎo
灯芯绒	10920	灯芯绒	dēngxīnróng
灯油	10921	灯油	dēngyóu
灯语	10922	灯语	dēngyǔ
灯盏	10923	灯盏	dēngzhǎn
灯罩	10924	灯罩	dēngzhào
登	10925	登	dēng
登场	10926	登场	dēng//cháng
登场	10927	登场	dēng//chǎng
登程	10928	登程	dēngchéng
登第	10929	登第	dēngdì
登顶	10930	登顶	dēng//dǐng
登对	10931	登对	dēngduì
登峰造极	10932	登峰造极	dēngfēng-zàojí
登高	10933	登高	dēnggāo
登革热	10934	登革热	dēnggérè
登基	10935	登基	dēng//jī
登极	10936	登极	dēng//jí
登记	10937	登记	dēng//jì
登记吨	10938	登记吨	dēngjìdūn
登科	10939	登科	dēngkē
登临	10940	登临	dēnglín
登陆	10941	登陆	dēng//lù
登陆舱	10942	登陆舱	dēnglùcāng
登陆场	10943	登陆场	dēnglùchǎng
登陆舰	10944	登陆舰	dēnglùjiàn
登陆艇	10945	登陆艇	dēnglùtǐng
登录	10946	登录	dēnglù
登门	10947	登门	dēng//mén
登攀	10948	登攀	dēngpān
登山	10949	登山	dēng//shān
登山服	10950	登山服	dēngshānfú
登时	10951	登时	dēngshí
登台	10952	登台	dēng//tái
登堂入室	10953	登堂入室	dēngtáng-rùshì
登载	10954	登载	dēngzǎi
噔	10955	噔	dēng
璒	10956	璒	dēng
镫	10957	镫（鐙）	dēng
簦	10958	簦	dēng
蹬	10959	蹬	dēng
蹬腿	10960	蹬腿	dēng//tuǐ
等	10961	等1	děng
等	10962	等2	děng
等不及	10963	等不及	děng·bují
等差	10964	等差	děngchā
等次	10965	等次	děngcì
等衰	10966	等衰	děngcuī
等待	10967	等待	děngdài
等到	10968	等到	děngdào
等得及	10969	等得及	děng·dejí
等第	10970	等第	děngdì
等额	10971	等额	děng’é
等额选举	10972	等额选举	děng’é xuǎnjǔ
等而下之	10973	等而下之	děng’érxiàzhī
等分	10974	等分	děngfēn
等份	10975	等份	děngfèn
等号	10976	等号	děnghào
等候	10977	等候	děnghòu
等级	10978	等级	děngjí
等价	10979	等价	děngjià
等价物	10980	等价物	děngjiàwù
等离子态	10981	等离子态	děnglízǐtài
等离子体	10982	等离子体	děnglízǐtǐ
等量齐观	10983	等量齐观	děngliàng-qíguān
等米下锅	10984	等米下锅	děngmǐ-xiàguō
等内	10985	等内	děngnèi
等身	10986	等身	děngshēn
等式	10987	等式	děngshì
等同	10988	等同	děngtóng
等外	10989	等外	děngwài
等闲	10990	等闲	děngxián
等闲视之	10991	等闲视之	děngxián-shìzhī
等因奉此	10992	等因奉此	děngyīn-fèngcǐ
等于	10993	等于	děngyú
等于零	10994	等于零	děngyú líng
戥	10995	戥	děng
戥子	10996	戥子	děng·zi
邓	10997	邓（鄧）	Dèng
邓小平理论	10998	邓小平理论	Dèng Xiǎopíng lǐlùn
凳	10999	凳（⁎櫈）	dèng
凳子	11000	凳子	dèng·zi
嶝	11001	嶝	dèng
澄	11002	澄	dèng
澄浆泥	11003	澄浆泥	dèngjiāngní
澄清	11004	澄清	dèng//qīng
澄沙	11005	澄沙	dèngshā
磴	11006	磴	dèng
瞪	11007	瞪	dèng
瞪眼	11008	瞪眼	dèng//yǎn
镫	11009	镫（鐙）	dèng
镫子	11010	镫子	dèng·zi
蹬	11011	蹬	dèng
氐	11012	氐	dī
低	11013	低	dī
低矮	11014	低矮	dī’ǎi
低保	11015	低保	dībǎo
低倍	11016	低倍	dībèi
低层	11017	低层	dīcéng
低层住宅	11018	低层住宅	dīcéng zhùzhái
低产	11019	低产	dīchǎn
低潮	11020	低潮	dīcháo
低沉	11021	低沉	dīchén
低档	11022	低档	dīdàng
低等	11023	低等	dīděng
低等动物	11024	低等动物	dīděng dòngwù
低等植物	11025	低等植物	dīděng zhíwù
低调	11026	低调	dīdiào
低度	11027	低度	dīdù
低端	11028	低端	dīduān
低估	11029	低估	dīgū
低谷	11030	低谷	dīgǔ
低耗	11031	低耗	dīhào
低缓	11032	低缓	dīhuǎn
低回	11033	低回（低徊）	dīhuí
低级	11034	低级	dījí
低价	11035	低价	dījià
低贱	11036	低贱	dījiàn
低就	11037	低就	dījiù
低聚糖	11038	低聚糖	dījùtáng
低空	11039	低空	dīkōng
低廉	11040	低廉	dīlián
低劣	11041	低劣	dīliè
低龄	11042	低龄	dīlíng
低落	11043	低落	dīluò
低迷	11044	低迷	dīmí
低能	11045	低能	dīnéng
低能儿	11046	低能儿	dīnéng’ér
低频	11047	低频	dīpín
低聘	11048	低聘	dīpìn
低气压区	11049	低气压区	dīqìyāqū
低热	11050	低热	dīrè
低人一等	11051	低人一等	dīrényīděng
低三下四	11052	低三下四	dīsān-xiàsì
低烧	11053	低烧	dīshāo
低声下气	11054	低声下气	dīshēng-xiàqì
低首下心	11055	低首下心	dīshǒu-xiàxīn
低俗	11056	低俗	dīsú
低速	11057	低速	dīsù
低碳	11058	低碳	dītàn
低糖	11059	低糖	dītáng
低头	11060	低头	dī//tóu
低洼	11061	低洼	dīwā
低微	11062	低微	dīwēi
低温	11063	低温	dīwēn
低下	11064	低下	dīxià
低限	11065	低限	dīxiàn
低陷	11066	低陷	dīxiàn
低压	11067	低压	dīyā
低压槽	11068	低压槽	dīyācáo
低音提琴	11069	低音提琴	dīyīn tíqín
低语	11070	低语	dīyǔ
低云	11071	低云	dīyún
的	11072	的	dī
的哥	11073	的哥	dīgē
的姐	11074	的姐	dījiě
的士	11075	的士	dīshì
羝	11076	羝	dī
堤	11077	堤（⁎隄）	dī
堤岸	11078	堤岸	dī’àn
堤坝	11079	堤坝	dībà
堤防	11080	堤防	dīfáng
堤围	11081	堤围	dīwéi
堤堰	11082	堤堰	dīyàn
提	11083	提	dī
提防	11084	提防	dī·fang
提溜	11085	提溜	dī·liu
䃅	11086	䃅（磾）	dī
嘀	11087	嘀	dī
嘀嗒	11088	嘀嗒	dīdā
嘀嗒	11089	嘀嗒	dī·da
嘀里嘟噜	11090	嘀里嘟噜	dī·lidūlū
滴	11091	滴	dī
滴虫	11092	滴虫	dīchóng
滴答	11093	滴答	dīdā
滴答	11094	滴答	dī·da
滴滴涕	11095	滴滴涕	dīdītì
滴定	11096	滴定	dīdìng
滴定管	11097	滴定管	dīdìngguǎn
滴灌	11098	滴灌	dīguàn
滴里嘟噜	11099	滴里嘟噜	dī·lidūlū
滴沥	11100	滴沥	dīlì
滴溜溜	11101	滴溜溜	dīliūliū
滴溜儿	11102	滴溜儿	dīliūr
滴水	11103	滴水	dī·shui
滴水不漏	11104	滴水不漏	dīshuǐ-bùlòu
滴水成冰	11105	滴水成冰	dīshuǐ-chéngbīng
滴水穿石	11106	滴水穿石	dīshuǐ-chuānshí
滴水瓦	11107	滴水瓦	dī·shuiwǎ
滴淌	11108	滴淌	dītǎng
樀	11109	樀	dī
樀樀	11110	樀樀	dīdī
镝	11111	镝（鏑）	dī
鞮	11112	鞮	dī
狄	11113	狄	Dí
迪	11114	迪（⁑廸）	dí
迪开石	11115	迪开石	díkāishí
迪斯科	11116	迪斯科	dísīkē
迪厅	11117	迪厅	dítīng
的	11118	的	dí
的当	11119	的当	dídàng
的确	11120	的确	díquè
的确良	11121	的确良	díquèliáng
的证	11122	的证	dízhèng
籴	11123	籴（糴）	dí
荻	11124	荻	dí
敌	11125	敌（敵）	dí
敌敌畏	11126	敌敌畏	dídíwèi
敌对	11127	敌对	díduì
敌国	11128	敌国	díguó
敌害	11129	敌害	díhài
敌后	11130	敌后	díhòu
敌境	11131	敌境	díjìng
敌忾	11132	敌忾	díkài
敌寇	11133	敌寇	díkòu
敌情	11134	敌情	díqíng
敌酋	11135	敌酋	díqiú
敌人	11136	敌人	dírén
敌视	11137	敌视	díshì
敌手	11138	敌手	díshǒu
敌台	11139	敌台	dítái
敌探	11140	敌探	dítàn
敌特	11141	敌特	dítè
敌伪	11142	敌伪	díwěi
敌我矛盾	11143	敌我矛盾	dí-wǒ máodùn
敌焰	11144	敌焰	díyàn
敌意	11145	敌意	díyì
敌阵	11146	敌阵	dízhèn
涤	11147	涤（滌）	dí
涤除	11148	涤除	díchú
涤荡	11149	涤荡	dídàng
涤纶	11150	涤纶	dílún
𬱖	11151	𬱖（頔）	dí
笛	11152	笛	dí
笛膜	11153	笛膜	dímó
笛子	11154	笛子	dí·zi
觌	11155	觌（覿）	dí
觌面	11156	觌面	dímiàn
髢	11157	髢	dí（旧读dì）
髢髢	11158	髢髢	dí·dí
嘀	11159	嘀（⁑唙）	dí
嘀咕	11160	嘀咕	dí·gu
嫡	11161	嫡	dí
嫡出	11162	嫡出	díchū
嫡传	11163	嫡传	díchuán
嫡母	11164	嫡母	dímǔ
嫡派	11165	嫡派	dípài
嫡亲	11166	嫡亲	díqīn
嫡堂	11167	嫡堂	dítáng
嫡系	11168	嫡系	díxì
嫡子	11169	嫡子	dízǐ
翟	11170	翟	dí
镝	11171	镝（鏑）	dí
䯼	11172	䯼	dí
䯼髻	11173	䯼髻	díjì
蹢	11174	蹢	dí
氐	11175	氐	dǐ
邸	11176	邸	dǐ
诋	11177	诋（詆）	dǐ
诋毁	11178	诋毁	dǐhuǐ
坻	11179	坻	dǐ
抵	11180	抵1（③⁎牴、③⁎觝）	dǐ
抵	11181	抵2	dǐ
抵补	11182	抵补	dǐbǔ
抵偿	11183	抵偿	dǐcháng
抵触	11184	抵触	dǐchù
抵达	11185	抵达	dǐdá
抵挡	11186	抵挡	dǐdǎng
抵还	11187	抵还	dǐhuán
抵换	11188	抵换	dǐhuàn
抵交	11189	抵交	dǐjiāo
抵缴	11190	抵缴	dǐjiǎo
抵抗	11191	抵抗	dǐkàng
抵扣	11192	抵扣	dǐkòu
抵赖	11193	抵赖	dǐlài
抵命	11194	抵命	dǐ//mìng
抵事	11195	抵事	dǐ//shì
抵数	11196	抵数	dǐ//shù
抵死	11197	抵死	dǐsǐ
抵牾	11198	抵牾	dǐwǔ
抵消	11199	抵消	dǐxiāo
抵销	11200	抵销	dǐxiāo
抵押	11201	抵押	dǐyā
抵御	11202	抵御	dǐyù
抵债	11203	抵债	dǐ//zhài
抵账	11204	抵账	dǐ//zhàng
抵制	11205	抵制	dǐzhì
抵罪	11206	抵罪	dǐzuì
茋	11207	茋	dǐ
底	11208	底1	dǐ
底	11209	底2	dǐ
底	11210	底3	dǐ
底版	11211	底版	dǐbǎn
底本	11212	底本	dǐběn
底册	11213	底册	dǐcè
底层	11214	底层	dǐcéng
底肥	11215	底肥	dǐféi
底粪	11216	底粪	dǐfèn
底稿	11217	底稿	dǐgǎo
底工	11218	底工	dǐgōng
底功	11219	底功	dǐgōng
底火	11220	底火	dǐhuǒ
底价	11221	底价	dǐjià
底襟	11222	底襟	dǐjīn
底里	11223	底里	dǐlǐ
底料	11224	底料	dǐliào
底码	11225	底码	dǐmǎ
底牌	11226	底牌	dǐpái
底盘	11227	底盘	dǐpán
底片	11228	底片	dǐpiàn
底气	11229	底气	dǐqì
底儿朝天	11230	底儿朝天	dǐr cháo tiān
底色	11231	底色	dǐsè
底商	11232	底商	dǐshāng
底墒	11233	底墒	dǐshāng
底数	11234	底数	dǐshù
底土	11235	底土	dǐtǔ
底细	11236	底细	dǐxì
底下	11237	底下	dǐ·xia
底下人	11238	底下人	dǐ·xiarén
底限	11239	底限	dǐxiàn
底线	11240	底线1	dǐxiàn
底线	11241	底线2	dǐxiàn
底线思维	11242	底线思维	dǐxiàn sīwéi
底薪	11243	底薪	dǐxīn
底蕴	11244	底蕴	dǐyùn
底止	11245	底止	dǐzhǐ
底子	11246	底子	dǐ·zi
底座	11247	底座	dǐzuò
柢	11248	柢	dǐ
砥	11249	砥	dǐ（旧又读zhǐ）
砥砺	11250	砥砺	dǐlì
砥柱中流	11251	砥柱中流	dǐzhù-zhōngliú
骶	11252	骶	dǐ
骶骨	11253	骶骨	dǐgǔ
地	11254	地	dì
地板	11255	地板	dìbǎn
地板革	11256	地板革	dìbǎngé
地板砖	11257	地板砖	dìbǎnzhuān
地磅	11258	地磅	dìbàng
地保	11259	地保	dìbǎo
地堡	11260	地堡	dìbǎo
地标	11261	地标	dìbiāo
地表	11262	地表	dìbiǎo
地鳖	11263	地鳖	dìbiē
地波	11264	地波	dìbō
地𬷕	11265	地𬷕	dìbǔ
地步	11266	地步	dìbù
地层	11267	地层	dìcéng
地产	11268	地产	dìchǎn
地秤	11269	地秤	dìchèng
地磁	11270	地磁	dìcí
地磁极	11271	地磁极	dìcíjí
地大物博	11272	地大物博	dìdà-wùbó
地带	11273	地带	dìdài
地道	11274	地道	dìdào
地道	11275	地道	dì·dao
地灯	11276	地灯	dìdēng
地点	11277	地点	dìdiǎn
地动仪	11278	地动仪	dìdòngyí
地洞	11279	地洞	dìdòng
地段	11280	地段	dìduàn
地方	11281	地方	dìfāng
地方	11282	地方	dì·fang
地方保护主义	11283	地方保护主义	dìfāng bǎohù zhǔyì
地方病	11284	地方病	dìfāngbìng
地方民族主义	11285	地方民族主义	dìfāng mínzú zhǔyì
地方时	11286	地方时	dìfāngshí
地方税	11287	地方税	dìfāngshuì
地方戏	11288	地方戏	dìfāngxì
地方志	11289	地方志	dìfāngzhì
地肤	11290	地肤	dìfū
地府	11291	地府	dìfǔ
地覆天翻	11292	地覆天翻	dìfù-tiānfān
地埂	11293	地埂	dìgěng
地宫	11294	地宫	dìgōng
地沟	11295	地沟	dìgōu
地沟油	11296	地沟油	dìgōuyóu
地瓜	11297	地瓜	dìguā
地广人稀	11298	地广人稀	dìguǎng-rénxī
地核	11299	地核	dìhé
地黄	11300	地黄	dìhuáng
地黄牛	11301	地黄牛	dìhuángniú
地积	11302	地积	dìjī
地基	11303	地基	dìjī
地极	11304	地极	dìjí
地籍	11305	地籍	dìjí
地籍图	11306	地籍图	dìjítú
地价	11307	地价	dìjià
地脚	11308	地脚	dìjiǎo
地脚	11309	地脚	dì·jiǎo
地窖	11310	地窖	dìjiào
地界	11311	地界	dìjiè
地久天长	11312	地久天长	dìjiǔ-tiāncháng
地牢	11313	地牢	dìláo
地老天荒	11314	地老天荒	dìlǎo-tiānhuāng
地雷	11315	地雷	dìléi
地理	11316	地理	dìlǐ
地理学	11317	地理学	dìlǐxué
地力	11318	地力	dìlì
地利	11319	地利	dìlì
地栗	11320	地栗	dìlì
地量	11321	地量	dìliàng
地邻	11322	地邻	dìlín
地漏	11323	地漏	dìlòu
地脉	11324	地脉	dìmài
地幔	11325	地幔	dìmàn
地貌	11326	地貌	dìmào
地面	11327	地面	dìmiàn
地膜	11328	地膜	dìmó
地亩	11329	地亩	dìmǔ
地菍	11330	地菍	dìniè
地盘	11331	地盘	dìpán
地陪	11332	地陪	dìpéi
地皮	11333	地皮	dìpí
地痞	11334	地痞	dìpǐ
地平线	11335	地平线	dìpíngxiàn
地铺	11336	地铺	dìpù
地气	11337	地气	dìqì
地契	11338	地契	dìqì
地壳	11339	地壳	dìqiào
地勤	11340	地勤	dìqín
地球	11341	地球	dìqiú
地球村	11342	地球村	dìqiúcūn
地球科学	11343	地球科学	dìqiú kēxué
地球仪	11344	地球仪	dìqiúyí
地区	11345	地区	dìqū
地权	11346	地权	dìquán
地儿	11347	地儿	dìr
地热	11348	地热	dìrè
地煞	11349	地煞	dìshà
地上茎	11350	地上茎	dìshàngjīng
地神	11351	地神	dìshén
地势	11352	地势	dìshì
地书	11353	地书	dìshū
地税	11354	地税	dìshuì
地摊	11355	地摊	dìtān
地毯	11356	地毯	dìtǎn
地毯式	11357	地毯式	dìtǎnshì
地铁	11358	地铁	dìtiě
地头	11359	地头1	dìtóu
地头	11360	地头2	dìtóu
地头蛇	11361	地头蛇	dìtóushé
地图	11362	地图	dìtú
地王	11363	地王	dìwáng
地位	11364	地位	dìwèi
地温	11365	地温	dìwēn
地物	11366	地物	dìwù
地峡	11367	地峡	dìxiá
地下	11368	地下	dìxià
地下	11369	地下	dì·xia
地下河	11370	地下河	dìxiàhé
地下茎	11371	地下茎	dìxiàjīng
地下室	11372	地下室	dìxiàshì
地下水	11373	地下水	dìxiàshuǐ
地下铁道	11374	地下铁道	dìxià tiědào
地线	11375	地线	dìxiàn
地效飞行器	11376	地效飞行器	dìxiào-fēixíngqì
地心说	11377	地心说	dìxīnshuō
地心引力	11378	地心引力	dìxīn yǐnlì
地形	11379	地形	dìxíng
地形图	11380	地形图	dìxíngtú
地学	11381	地学	dìxué
地衣	11382	地衣	dìyī
地窨子	11383	地窨子	dìyìn·zi
地狱	11384	地狱	dìyù
地域	11385	地域	dìyù
地缘	11386	地缘	dìyuán
地震	11387	地震	dìzhèn
地震波	11388	地震波	dìzhènbō
地政	11389	地政	dìzhèng
地支	11390	地支	dìzhī
地址	11391	地址	dìzhǐ
地质	11392	地质	dìzhì
地质年代	11393	地质年代	dìzhì niándài
地质学	11394	地质学	dìzhìxué
地轴	11395	地轴	dìzhóu
地主	11396	地主	dìzhǔ
地砖	11397	地砖	dìzhuān
地租	11398	地租	dìzū
玓	11399	玓	dì
玓𬍛	11400	玓𬍛	dìlì
杕	11401	杕	dì
弟	11402	弟	dì
弟弟	11403	弟弟	dì·di
弟妇	11404	弟妇	dìfù
弟妹	11405	弟妹	dìmèi
弟媳	11406	弟媳	dìxí
弟兄	11407	弟兄	dì·xiong
弟子	11408	弟子	dìzǐ
的	11409	的	dì
俤	11410	俤	dì
帝	11411	帝	dì
帝都	11412	帝都	dìdū
帝国	11413	帝国	dìguó
帝国主义	11414	帝国主义	dìguó zhǔyì
帝京	11415	帝京	dìjīng
帝君	11416	帝君	dìjūn
帝王	11417	帝王	dìwáng
帝制	11418	帝制	dìzhì
帝子	11419	帝子	dìzǐ
递	11420	递（遞）	dì
递补	11421	递补	dìbǔ
递加	11422	递加	dìjiā
递减	11423	递减	dìjiǎn
递降	11424	递降	dìjiàng
递交	11425	递交	dìjiāo
递解	11426	递解	dìjiè
递进	11427	递进	dìjìn
递升	11428	递升	dìshēng
递送	11429	递送	dìsòng
递增	11430	递增	dìzēng
娣	11431	娣	dì
菂	11432	菂	dì
第	11433	第1	dì
第	11434	第2	dì
第	11435	第3	dì
第二产业	11436	第二产业	dì-èr chǎnyè
第二春	11437	第二春	dì’èrchūn
第二次国内革命战争	11438	第二次国内革命战争	Dì-Èr Cì Guónèi Gémìng Zhànzhēng
第二次世界大战	11439	第二次世界大战	Dì-Èr Cì Shìjiè Dàzhàn
第二次鸦片战争	11440	第二次鸦片战争	Dì-Èr Cì Yāpiàn Zhànzhēng
第二国际	11441	第二国际	Dì-Èr Guójì
第二课堂	11442	第二课堂	dì-èr kètáng
第二审	11443	第二审	dì’èrshěn
第二世界	11444	第二世界	dì-èr shìjiè
第二性征	11445	第二性征	dì-èr xìngzhēng
第二宇宙速度	11446	第二宇宙速度	dì-èr yǔzhòu sùdù
第二职业	11447	第二职业	dì-èr zhíyè
第六感觉	11448	第六感觉	dì-liù gǎnjué
第三产业	11449	第三产业	dì-sān chǎnyè
第三次国内革命战争	11450	第三次国内革命战争	Dì-Sān Cì Guónèi Gémìng Zhànzhēng
第三国际	11451	第三国际	Dì-Sān Guójì
第三人	11452	第三人	dìsānrén
第三世界	11453	第三世界	dì-sān shìjiè
第三宇宙速度	11454	第三宇宙速度	dì-sān yǔzhòu sùdù
第三者	11455	第三者	dìsānzhě
第三状态	11456	第三状态	dì-sān zhuàngtài
第四宇宙速度	11457	第四宇宙速度	dì-sì yǔzhòu sùdù
第五	11458	第五	Dìwǔ
第五纵队	11459	第五纵队	dì-wǔ zòngduì
第一	11460	第一	dì-yī
第一把手	11461	第一把手	dìyībǎshǒu
第一产业	11462	第一产业	dì-yī chǎnyè
第一次国内革命战争	11463	第一次国内革命战争	Dì-Yī Cì Guónèi Gémìng Zhànzhēng
第一次世界大战	11464	第一次世界大战	Dì-Yī Cì Shìjiè Dàzhàn
第一次鸦片战争	11465	第一次鸦片战争	Dì-Yī Cì Yāpiàn Zhànzhēng
第一夫人	11466	第一夫人	dì-yī fū·rén
第一国际	11467	第一国际	Dì-Yī Guójì
第一审	11468	第一审	dìyīshěn
第一时间	11469	第一时间	dì-yī shíjiān
第一世界	11470	第一世界	dì-yī shìjiè
第一手	11471	第一手	dìyīshǒu
第一桶金	11472	第一桶金	dì-yī tǒng jīn
第一线	11473	第一线	dìyīxiàn
第一宇宙速度	11474	第一宇宙速度	dì-yī yǔzhòu sùdù
谛	11475	谛（諦）	dì
谛视	11476	谛视	dìshì
谛听	11477	谛听	dìtīng
蒂	11478	蒂（⁎蔕）	dì
棣	11479	棣1	dì
棣	11480	棣2	dì
棣棠	11481	棣棠	dìtáng
睇	11482	睇	dì
媂	11483	媂	dì
缔	11484	缔（締）	dì
缔交	11485	缔交	dìjiāo
缔结	11486	缔结	dìjié
缔盟	11487	缔盟	dìméng
缔约	11488	缔约	dìyuē
缔约国	11489	缔约国	dìyuēguó
缔造	11490	缔造	dìzào
𤧛	11491	𤧛	dì
禘	11492	禘	dì
碲	11493	碲	dì
墬	11494	墬	dì
䗖	11495	䗖（螮、⁑蝃）	dì
䗖𬟽	11496	䗖𬟽	dìdōng
踶	11497	踶	dì
嗲	11498	嗲	diǎ
掂	11499	掂（⁑敁）	diān
掂对	11500	掂对	diān·dui
掂掇	11501	掂掇	diān·duo
掂斤播两	11502	掂斤播两	diānjīn-bōliǎng
掂斤簸两	11503	掂斤簸两	diānjīn-bǒliǎng
掂量	11504	掂量	diān·liang
傎	11505	傎	diān
滇	11506	滇	Diān
滇红	11507	滇红	diānhóng
滇剧	11508	滇剧	diānjù
颠	11509	颠1（顛）	diān
颠	11510	颠2（顛）	diān
颠簸	11511	颠簸	diānbǒ
颠倒	11512	颠倒	diāndǎo
颠倒黑白	11513	颠倒黑白	diāndǎo-hēibái
